budget,homepage,movie_id,movie_status,popularity,release_date,release_year,revenue,runtime,tagline,title,vote_average,vote_count
0,null,979,Released,32.476097,2002-05-22,2002,792,97,Time destroys everything.,Irréversible,7.1,538
23000000,null,20024,Released,6.921263,1999-12-03,1999,10827816,102,null,The End of the Affair,6.6,55
0,null,162396,Released,0.627763,1998-06-11,1998,0,0,null,The Big Swap,0.0,0
0,null,52462,Released,1.284741,2006-05-17,2006,0,94,null,The Pet,5.3,3
0,null,4107,Released,7.330691,2002-01-16,2002,773228,107,null,Bloody Sunday,7.2,53
85000000,http://www.sonypictures.com/homevideo/memoirsofageisha/index.html,1904,Released,16.595875,2005-12-06,2005,162242962,145,My world is as forbidden as it is fragile; without its mysteries, it cannot survive.,Memoirs of a Geisha,7.3,652
79000000,http://www.lordoftherings.net/,121,Released,106.91497,2002-12-18,2002,926287400,179,A New Power Is Rising.,The Lord of the Rings: The Two Towers,8.0,7487
20000000,http://www.areyouabadteacher.com/,52449,Released,28.497242,2011-05-16,2011,216197492,92,She doesn't give an F.,Bad Teacher,5.4,1584
15000000,http://www.10cloverfieldlane.com/,333371,Released,53.698685,2016-03-10,2016,108286421,103,Monsters come in many forms.,10 Cloverfield Lane,6.8,2468
6000000,http://workingtitlefilms.com/film.php?filmID=59,712,Released,29.834064,1994-03-09,1994,254700832,117,Five good reasons to stay single.,Four Weddings and a Funeral,6.6,632
30000000,null,9042,Released,10.756266,2005-08-25,2005,15007991,97,There are places man was never meant to go.,The Cave,5.1,202
28000000,null,23172,Released,14.639324,2010-01-15,2010,45236543,94,Spying is easy, Babysitting is hard,The Spy Next Door,5.5,345
27000000,null,8080,Released,8.715822,2004-08-27,2004,13000000,99,Who's next?,Suspect Zero,5.5,98
25000000,null,227707,Released,8.842722,2013-12-05,2013,6399,99,The new name for adventure.,The Adventurer: The Curse of the Midas Box,5.1,73
25000000,null,9352,Released,25.848003,2004-02-20,2004,20796847,93,No actual Europeans were harmed in the making of this film.,EuroTrip,6.5,656
24000000,null,10480,Released,3.572339,2000-09-08,2000,0,108,She's chasing a dream... they're chasing her.,Nurse Betty,5.9,111
9000000,null,14057,Released,5.2545,2005-09-01,2005,0,103,Men play the game. Women know the score.,Trust the Man,5.5,29
6500000,null,1116,Released,6.787967,2006-05-18,2006,22889018,124,Winner of the PALME D'OR at the 2006 Cannes Film Festival.,The Wind That Shakes the Barley,7.1,154
3000000,null,670,Released,56.76349,2003-01-01,2003,14980005,120,15 years of imprisonment, five days of vengeance,올드보이,8.0,1945
2540800,null,872,Released,36.556953,1952-04-10,1952,7200000,103,What a Glorious Feeling!,Singin' in the Rain,7.8,727
2450000,http://www.goforitmovie.com/,61038,Released,0.500753,2011-05-13,2011,0,105,null,Go for It!,4.6,5
750000,null,376004,Released,1.471139,2016-01-05,2016,0,80,Love. Betrayal. Vengeance,Adulterers,5.2,16
30,null,16340,Released,4.590277,2000-09-14,2000,103,78,Ooo la la! Paris will never be the same!,Rugrats in Paris: The Movie,6.0,100
0,null,21338,Released,3.623002,1991-05-17,1991,0,92,A cop who enforces his own brand of justice.,Stone Cold,5.7,34
35000000,null,77875,Released,17.932562,2012-11-29,2012,0,106,null,Playing for Keeps,5.4,240
6500000,null,11022,Released,8.526635,2002-01-14,2002,12633747,105,null,Narc,6.8,142
165000000,http://www.shrekforeverafter.com/,10192,Released,44.041187,2010-05-16,2010,752600867,93,It ain't Ogre... Til it's Ogre,Shrek Forever After,6.0,1959
150000000,http://movies.disney.com/chicken-little,9982,Released,47.973995,2005-11-04,2005,314432665,81,When it comes to saving the world, it helps to be a little chicken.,Chicken Little,5.6,944
